Run	BioProject	SRA_sampleName	tissue	SampleName	replicateName	Sex	DevStage_plant	Part	DevStage_Tissue	Layout	oldreplicateName
SRR10600901	PRJNA560453	Female Vegetative Leaf - fresh cutting	Leaf	Sample1_Leaf	Sample1_Leaf_1	Female	FreshCutting	Leaf	Fresh	Paired	PRJNA560453_VegetativeLeaf_unknown_1
SRR10600900	PRJNA560453	Female Vegetative Leaf - fresh cutting	Leaf	Sample1_Leaf	Sample1_Leaf_2	Female	FreshCutting	Leaf	Fresh	Paired	PRJNA560453_VegetativeLeaf_unknown_2
SRR10600892	PRJNA560453	Female Immature budding plant reproductive leaf	Leaf	Sample30_Leaf	Sample30_Leaf_1	Female	Maturing	Leaf	Fresh	Paired	PRJNA560453_FemaleReproductiveLeaf_Immature_1
SRR10600940	PRJNA560453	Female_Flower_Stage3	Flower	Sample10_Flower	Sample10_Flower_1	Female	Mature	Flower	Stage3	Paired	PRJNA560453_FemaleFlower_Stage3_1
SRR10600939	PRJNA560453	Female_Flower_Stage3	Flower	Sample10_Flower	Sample10_Flower_2	Female	Mature	Flower	Stage3	Paired	PRJNA560453_FemaleFlower_Stage3_2
SRR10600938	PRJNA560453	Female_Flower_Stage3	Flower	Sample10_Flower	Sample10_Flower_3	Female	Mature	Flower	Stage3	Paired	PRJNA560453_FemaleFlower_Stage3_3
SRR10600937	PRJNA560453	Female_Flower_Stage3	Flower	Sample10_Flower	Sample10_Flower_4	Female	Mature	Flower	Stage3	Paired	PRJNA560453_FemaleFlower_Stage3_4
SRR10600936	PRJNA560453	Female_Flower_Stage3	Flower	Sample10_Flower	Sample10_Flower_5	Female	Mature	Flower	Stage3	Paired	PRJNA560453_FemaleFlower_Stage3_5
SRR10600935	PRJNA560453	Female_Flower_Stage3	Flower	Sample10_Flower	Sample10_Flower_6	Female	Mature	Flower	Stage3	Paired	PRJNA560453_FemaleFlower_Stage3_6
SRR10600934	PRJNA560453	Female_Flower_Stage4	Flower	Sample11_Flower	Sample11_Flower_1	Female	Mature	Flower	Stage4	Paired	PRJNA560453_FemaleFlower_Stage4_1
SRR10600933	PRJNA560453	Female_Flower_Stage4	Flower	Sample11_Flower	Sample11_Flower_2	Female	Mature	Flower	Stage4	Paired	PRJNA560453_FemaleFlower_Stage4_2
SRR10600931	PRJNA560453	Female_Flower_Stage4	Flower	Sample11_Flower	Sample11_Flower_3	Female	Mature	Flower	Stage4	Paired	PRJNA560453_FemaleFlower_Stage4_3
SRR10600930	PRJNA560453	Female_Flower_Stage4	Flower	Sample11_Flower	Sample11_Flower_4	Female	Mature	Flower	Stage4	Paired	PRJNA560453_FemaleFlower_Stage4_4
SRR10600929	PRJNA560453	Female_Flower_Stage4	Flower	Sample11_Flower	Sample11_Flower_5	Female	Mature	Flower	Stage4	Paired	PRJNA560453_FemaleFlower_Stage4_5
SRR10600928	PRJNA560453	Female_Flower_Stage4	Flower	Sample11_Flower	Sample11_Flower_6	Female	Mature	Flower	Stage4	Paired	PRJNA560453_FemaleFlower_Stage4_6
SRR10600896	PRJNA560453	FemaleDriedFloralBud	Flower	Sample12_Bud	Sample12_Bud_1	Female	Mature	Bud	Senescent	Paired	PRJNA560453_FemaleFloralBud_Dried_1
SRR10600886	PRJNA560453	FemaleFlower	Flower	Sample13_Flower	Sample13_Flower_1	Female	Mature	Flower	Fresh	Paired	NA
SRR10600891	PRJNA560453	ImmatureFemaleplant reproductive buds	Flower	Sample14_Bud	Sample14_Bud_1	Female	Immature	Bud	NA	Paired	NA
SRR10600883	PRJNA560453	Male Flower	Flower	Sample15_Flower	Sample15_Flower_1	Male	Mature	Flower	NA	Paired	PRJNA560453_MaleFlower_unknown_1
SRR10600882	PRJNA560453	Male Flower	Flower	Sample15_Flower	Sample15_Flower_2	Male	Mature	Flower	NA	Paired	PRJNA560453_MaleFlower_unknown_2
SRR10600881	PRJNA560453	Male Flower	Flower	Sample15_Flower	Sample15_Flower_3	Male	Mature	Flower	NA	Paired	PRJNA560453_MaleFlower_unknown_3
SRR10600880	PRJNA560453	Male Flower	Flower	Sample15_Flower	Sample15_Flower_4	Male	Mature	Flower	NA	Paired	PRJNA560453_MaleFlower_unknown_4
SRR10600879	PRJNA560453	Male Flower	Flower	Sample15_Flower	Sample15_Flower_5	Male	Mature	Flower	NA	Paired	PRJNA560453_MaleFlower_unknown_5
SRR10600878	PRJNA560453	Male Flower	Flower	Sample15_Flower	Sample15_Flower_6	Male	Mature	Flower	NA	Paired	PRJNA560453_MaleFlower_unknown_6
SRR10600876	PRJNA560453	Male Leaf	Leaf	Sample16_Leaf	Sample16_Leaf_1	Male	NA	Leaf	NA	Paired	NA
SRR10600927	PRJNA560453	Trichome_Stage1	Trichome	Sample17_Trichome	Sample17_Trichome_1	Female	Mature	Trichome	Stage1	Paired	PRJNA560453_Trichomes_Stage1_1
